biome,prefab,exclusionHaloMin,exclusionHaloMax,maxSlope,scaleMin,scaleMax,role
HereticForest,AP_GangshiTree_2,180,260,18,0.90,1.04,primary talisman-tree hero
HereticForest,AP_S_Tree_01,180,260,18,0.90,1.05,giant horror landmark
HereticForest,AP_GraveKeepers_B03_2,130,190,22,0.90,1.06,tall graveyard guardian
HereticForest,AP_GraveKeepers_B01,130,190,22,0.90,1.06,wide graveyard guardian
HereticForest,AP_Building_exorcist_tree2,140,220,18,0.92,1.08,primary exorcist-tree reveal
HereticForest,AP_GraveKeepers_B02,140,220,20,0.92,1.06,expensive upright guardian
HereticForest,AP_Tree_Curse_J07,110,170,26,0.88,1.10,thin cursed silhouette
HereticForest,AP_GraveKeepers_B06,130,190,24,0.90,1.08,broad graveyard silhouette
HereticForest,AP_M6_Tree_MonsterTreeBark_SM_PHJ_2,110,170,24,0.90,1.10,intertwined monster-tree tower
HereticForest,AP_Tree_Curse_J08,105,160,26,0.88,1.12,broken cursed fork
HereticForest,AP_Tree_Curse_H01_2,170,250,18,0.94,1.04,primary root-wall horror hero
HereticForest,AP_Tree_Curse_K01,130,200,22,0.92,1.08,thick secondary cursed hero
HereticForest,AP_Tree_Heretic_A01_2,100,150,24,0.88,1.12,fleshy ritual-tree hero
HereticForest,AP_GraveKeepers_B04,90,140,26,0.90,1.10,narrow foreground ritual accent
HereticForest,AP_Tree_Heretic_B03,60,100,14,0.90,1.10,stake barrier; authored choke only
HereticForest,AP_sunghwangdang_Tree_pagoda_01,80,120,14,0.90,1.10,tagged shrine/cairn node
HereticForest,AP_Tree_Heretic_B05,50,85,14,0.88,1.12,skull-stake punctuation
HereticForest,AP_GraveKeepers_C02,65,100,18,0.85,1.15,standing grave-rock marker
HereticForest,AP_sunghwangdang_Tree_pagoda_01_1,75,110,14,0.90,1.10,secondary plain shrine/cairn
HereticForest,AP_Tree_Heretic_D03_02,90,140,12,0.86,1.14,side root barrier; route exclusion
HereticForest,AP_Tree_Heretic_D03,100,160,12,0.88,1.12,major root barrier; route exclusion
HereticForest,AP_GraveKeepers_C01,60,95,18,0.85,1.15,low grave-rock marker
HereticForest,AP_Tree_Heretic_D02_01,90,140,12,0.86,1.14,root-arch threshold; route exclusion
Fountain,AP_Tree_Lake_RoundTree_01_SM,100,160,20,0.90,1.08,isolated curled guardian landmark
